FvH4_1g00400,FxaC_2g11400,.,FxaC_4g39630,FxaC_3g00840
FvH4_1g00410,FxaC_2g11401,.,FxaC_4g39600,FxaC_3g00842
FvH4_1g00420,FxaC_2g11401,.,FxaC_4g39600,FxaC_3g00842
FvH4_1g00421,FxaC_2g11401,.,FxaC_4g39590,FxaC_3g00843
FvH4_1g00430,FxaC_2g11370,.,FxaC_4g39580,FxaC_3g00850
FvH4_1g00440,FxaC_2g11360,.,FxaC_4g39570,FxaC_3g00860
FvH4_1g00450,FxaC_2g11350,.,FxaC_4g39560,FxaC_3g00870
FvH4_1g00460,.,.,FxaC_4g39550,.
FvH4_1g00470,FxaC_2g11330,.,FxaC_4g39530,FxaC_3g00880
FvH4_1g00480,FxaC_2g11320,.,FxaC_4g39520,FxaC_3g00890
FvH4_1g00490,FxaC_2g11310,.,FxaC_4g39510,FxaC_3g00900
FvH4_1g00491,.,.,.,.
FvH4_1g00492,.,.,.,.
FvH4_1g00493,.,.,.,.
FvH4_1g00500,.,.,FxaC_4g39500,FxaC_3g00910
FvH4_1g00510,.,.,FxaC_4g39501,FxaC_3g00911
FvH4_1g00520,.,.,FxaC_4g39490,.
FvH4_1g00530,FxaC_2g11300,.,FxaC_4g39480,FxaC_3g01040
FvH4_1g00540,FxaC_2g11290,.,FxaC_4g39470,FxaC_3g01030
FvH4_1g00550,FxaC_2g11280,.,FxaC_4g39451,FxaC_3g01032
FvH4_1g00551,FxaC_2g11270,.,FxaC_4g39460,FxaC_3g00980
FvH4_1g00560,FxaC_2g11250,.,FxaC_4g39450,.
FvH4_1g00570,FxaC_2g11240,.,FxaC_4g39460,.
FvH4_1g00580,.,.,FxaC_4g39430,.
FvH4_1g00590,FxaC_2g11220,.,FxaC_4g39410,.
FvH4_1g00600,.,.,FxaC_4g39400,.
FvH4_1g00601,FxaC_2g11210,.,FxaC_4g39390,.
FvH4_1g00610,FxaC_2g11200,.,FxaC_4g39380,.
FvH4_1g00620,FxaC_2g11170,.,FxaC_4g39370,FxaC_3g01050
FvH4_1g00630,FxaC_2g11160,.,FxaC_4g39360,FxaC_3g01060
FvH4_1g00640,FxaC_2g11150,.,FxaC_4g39351,FxaC_3g01070
FvH4_1g00650,FxaC_2g11140,.,FxaC_4g39350,FxaC_3g01080
FvH4_1g00660,FxaC_2g11130,.,FxaC_4g39340,FxaC_3g00950
FvH4_1g00680,FxaC_2g11120,.,.,FxaC_3g00960
FvH4_1g00670,FxaC_2g11110,.,FxaC_4g39320,FxaC_3g01110
FvH4_1g00690,FxaC_2g11100,.,FxaC_4g39310,FxaC_3g00970
FvH4_1g00691,.,.,FxaC_4g39300,FxaC_3g00980
FvH4_1g00700,.,.,FxaC_4g39300,FxaC_3g00980
FvH4_1g00710,.,.,FxaC_4g39290,FxaC_3g00990
FvH4_1g00720,FxaC_2g11081,.,FxaC_4g39280,FxaC_3g01000
FvH4_1g00730,FxaC_2g11080,.,FxaC_4g39270,FxaC_3g01270
FvH4_1g00740,.,.,FxaC_4g39240,.
FvH4_1g00750,FxaC_2g11060,.,FxaC_4g39201,.
FvH4_1g00760,FxaC_2g11050,.,.,FxaC_3g01260
FvH4_1g00770,FxaC_2g11040,.,FxaC_4g39210,FxaC_3g01250
FvH4_1g00780,FxaC_2g11030,.,FxaC_4g39200,.
FvH4_1g00800,FxaC_2g11010,.,FxaC_4g39180,FxaC_3g01240
FvH4_1g00810,.,.,.,FxaC_3g01230
FvH4_1g00811,.,.,.,.
FvH4_1g00812,FxaC_2g11000,.,FxaC_4g39150,.
FvH4_1g00820,FxaC_2g10990,.,FxaC_4g39130,FxaC_3g01200
FvH4_1g00830,FxaC_2g10980,.,FxaC_4g39120,FxaC_3g01190
FvH4_1g00840,FxaC_2g10970,.,.,FxaC_3g01180
FvH4_1g00860,FxaC_2g10940,.,FxaC_4g39100,FxaC_3g01160
FvH4_1g00870,FxaC_2g10920,.,FxaC_4g39092,FxaC_3g01020
FvH4_1g00880,FxaC_2g10911,.,FxaC_4g39091,FxaC_3g01340
FvH4_1g00890,FxaC_2g10910,.,FxaC_4g39090,FxaC_3g01341
FvH4_1g00900,.,.,.,FxaC_3g01660
FvH4_1g00910,.,.,.,.
FvH4_1g00920,FxaC_2g10900,.,FxaC_4g39070,FxaC_3g01350
FvH4_1g00930,FxaC_2g10890,.,FxaC_4g39060,FxaC_3g01360
FvH4_1g00940,FxaC_2g10880,.,FxaC_4g39050,FxaC_3g01370
FvH4_1g00950,FxaC_2g10870,.,FxaC_4g39040,FxaC_3g01380
FvH4_1g00960,FxaC_2g10860,.,FxaC_4g39030,FxaC_3g01390
FvH4_1g00961,.,.,.,FxaC_3g01450
FvH4_1g00970,.,.,FxaC_4g38990,.
FvH4_1g00971,FxaC_2g10840,.,FxaC_4g38980,FxaC_3g01420
FvH4_1g00990,FxaC_2g10830,.,FxaC_4g38970,FxaC_3g01440
FvH4_1g01000,FxaC_2g10820,.,FxaC_4g38960,FxaC_3g01450
FvH4_1g01010,FxaC_2g10800,.,FxaC_4g38940,FxaC_3g01470
FvH4_1g01020,FxaC_2g10780,.,FxaC_4g38930,FxaC_3g01480
FvH4_1g01030,FxaC_2g10770,.,FxaC_4g38920,FxaC_3g01490
FvH4_1g01040,FxaC_2g10760,FxaC_1g05830,FxaC_4g38910,FxaC_3g01500
FvH4_1g01050,FxaC_2g10740,FxaC_1g05800,FxaC_4g38890,FxaC_3g01510
FvH4_1g01060,FxaC_2g10730,FxaC_1g05790,FxaC_4g38880,FxaC_3g01520
FvH4_1g01070,FxaC_2g10710,FxaC_1g05770,FxaC_4g38860,FxaC_3g01540
FvH4_1g01080,FxaC_2g10690,FxaC_1g05760,FxaC_4g38850,FxaC_3g01550
FvH4_1g01090,FxaC_2g10680,FxaC_1g05750,FxaC_4g38840,FxaC_3g01560
FvH4_1g01100,FxaC_2g10660,FxaC_1g05740,FxaC_4g38810,FxaC_3g01580
FvH4_1g01110,FxaC_2g10650,FxaC_1g05720,FxaC_4g38790,FxaC_3g01590
FvH4_1g01120,FxaC_2g10640,FxaC_1g05700,FxaC_4g38782,FxaC_3g01601
FvH4_1g01130,FxaC_2g10641,FxaC_1g05710,FxaC_4g38781,FxaC_3g01600
FvH4_1g01140,FxaC_2g10640,FxaC_1g05700,FxaC_4g38780,FxaC_3g01601
FvH4_1g01150,FxaC_2g10630,FxaC_1g05690,FxaC_4g38770,FxaC_3g01610
FvH4_1g01160,FxaC_2g10620,FxaC_1g05680,FxaC_4g38760,FxaC_3g01620
FvH4_1g01170,FxaC_2g10610,FxaC_1g05670,FxaC_4g38750,FxaC_3g01630
FvH4_1g01180,FxaC_2g10591,FxaC_1g05660,FxaC_4g38740,FxaC_3g01640
FvH4_1g01190,.,FxaC_1g05650,FxaC_4g38730,FxaC_3g01641
FvH4_1g01200,FxaC_2g10590,FxaC_1g05640,FxaC_4g38720,FxaC_3g01650
FvH4_1g01201,.,.,.,.
FvH4_1g01202,.,.,.,FxaC_3g01660
FvH4_1g01210,FxaC_2g10590,FxaC_1g05640,FxaC_4g38720,FxaC_3g01650
FvH4_1g01220,FxaC_2g10580,FxaC_1g05630,FxaC_4g38710,.
FvH4_1g01230,FxaC_2g10580,FxaC_1g05630,.,.
FvH4_1g01240,FxaC_2g10570,FxaC_1g05620,FxaC_4g38700,FxaC_3g01680
FvH4_1g01250,FxaC_2g10530,FxaC_1g05610,FxaC_4g38690,FxaC_3g01690
FvH4_1g01260,FxaC_2g10520,FxaC_1g05600,FxaC_4g38680,FxaC_3g01700
FvH4_1g01270,.,.,FxaC_4g38660,.
FvH4_1g01280,FxaC_2g10480,FxaC_1g05570,FxaC_4g38650,FxaC_3g01720
FvH4_1g01290,FxaC_2g10470,FxaC_1g05560,FxaC_4g38640,FxaC_3g01730
FvH4_1g01300,FxaC_2g10460,FxaC_1g05550,FxaC_4g38630,FxaC_3g01740
FvH4_1g01310,FxaC_2g10450,FxaC_1g05540,FxaC_4g38620,FxaC_3g01760
FvH4_1g01320,FxaC_2g10440,FxaC_1g05530,FxaC_4g38610,.
FvH4_1g01321,FxaC_2g10411,FxaC_1g05520,.,FxaC_3g01780
